path,type,description,value,fontFamily,fontSize,fontWeight,lineHeight,letterSpacing,extensions
typography.fontFamily.default,fontFamily,Default font family,{typography.fontFamily.sansSerif},,,,,,
typography.fontFamily.code,fontFamily,Font family for code,{typography.fontFamily.monospace},,,,,,
typography.text.primary.$root,typography,"Default text style for UI elements such as buttons, labels, and form inputs, etc. (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.350},{typography.weight.regular},{number.lineHeight.350},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.primary.bold,typography,"Bold variant of primary text for emphasis in UI elements (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/primary/$root/$value/fontFamily},{$ref:#/typography/text/primary/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/primary/$root/$value/lineHeight},{$ref:#/typography/text/primary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/primary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/primary/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.primary.code,typography,"Monospace text style for code snippets (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.code},{$ref:#/typography/text/primary/$root/$value/fontSize},{$ref:#/typography/text/primary/$root/$value/fontWeight},{$ref:#/typography/text/primary/$root/$value/lineHeight},{$ref:#/typography/text/primary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/primary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.primary.smallcaps,typography,"Small caps variant of primary text with wide letter spacing for stylistic headings and emphasis (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/primary/$root/$value/fontFamily},{$ref:#/typography/text/primary/$root/$value/fontSize},{$ref:#/typography/text/primary/$root/$value/fontWeight},{$ref:#/typography/text/primary/$root/$value/lineHeight},{dimension.letterSpacing.wide},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/smallcaps/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.text.primary.prose.$root,typography,"Body text style for flowing paragraph content and long-form reading, using oldstyle figures for improved readability (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/primary/$root/$value/fontFamily},{$ref:#/typography/text/primary/$root/$value/fontSize},{$ref:#/typography/text/primary/$root/$value/fontWeight},{$ref:#/typography/text/primary/$root/$value/lineHeight},{$ref:#/typography/text/primary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/primary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.text.primary.prose.bold,typography,"Bold variant of primary prose text for emphasis in paragraph content (16px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/primary/prose/$root/$value/fontFamily},{$ref:#/typography/text/primary/prose/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/primary/prose/$root/$value/lineHeight},{$ref:#/typography/text/primary/prose/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/primary/prose/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/primary/prose/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.secondary.$root,typography,"Secondary text style for less prominent UI elements (14px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.300},{typography.weight.regular},{number.lineHeight.300},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.secondary.bold,typography,"Bold variant of secondary text for emphasis (14px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/secondary/$root/$value/fontFamily},{$ref:#/typography/text/secondary/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/secondary/$root/$value/lineHeight},{$ref:#/typography/text/secondary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/secondary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/secondary/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.secondary.code,typography,"Monospace text style for code snippets at secondary text size (14px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.code},{$ref:#/typography/text/secondary/$root/$value/fontSize},{$ref:#/typography/text/secondary/$root/$value/fontWeight},{$ref:#/typography/text/secondary/$root/$value/lineHeight},{$ref:#/typography/text/secondary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/secondary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.secondary.prose.$root,typography,"Secondary text style for flowing paragraph content, using oldstyle figures for improved readability (14px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/secondary/$root/$value/fontFamily},{$ref:#/typography/text/secondary/$root/$value/fontSize},{$ref:#/typography/text/secondary/$root/$value/fontWeight},{$ref:#/typography/text/secondary/$root/$value/lineHeight},{$ref:#/typography/text/secondary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/secondary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.text.secondary.prose.bold,typography,"Bold variant of secondary prose text for emphasis in paragraph content (14px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/secondary/prose/$root/$value/fontFamily},{$ref:#/typography/text/secondary/prose/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/secondary/prose/$root/$value/lineHeight},{$ref:#/typography/text/secondary/prose/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/secondary/prose/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/secondary/prose/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.tertiary.$root,typography,"Tertiary body text style for supplementary UI elements (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.250},{typography.weight.regular},{number.lineHeight.250},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.tertiary.bold,typography,"Bold variant of tertiary text for emphasis (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/tertiary/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/tertiary/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.tertiary.prose.$root,typography,"Tertiary text style for flowing paragraph content, using oldstyle figures for improved readability (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/tertiary/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/$root/$value/fontSize},{$ref:#/typography/text/tertiary/$root/$value/fontWeight},{$ref:#/typography/text/tertiary/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.text.tertiary.prose.bold,typography,"Bold variant of tertiary prose text for emphasis in paragraph content (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/text/tertiary/prose/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/prose/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/tertiary/prose/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/prose/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/prose/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/tertiary/prose/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.italic,extension,"Italic text modifier for emphasis (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""fontStyle"",""$value"":{""$ref"":""#/typography/fontStyle/italic/$extensions/com.canonical.typography/$value""}}}"
typography.text.oldStyleFigure,extension,"Oldstyle figures modifier for improved readability in prose (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""figureStyle"",""$value"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}"
typography.text.liningFigures,extension,"Lining figures modifier for tabular data and UI elements (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""figureStyle"",""$value"":{""$ref"":""#/typography/figureStyle/liningFigures/$extensions/com.canonical.typography/$value""}}}"
typography.text.superscript,extension,"Superscript modifier for footnote references and ordinals (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""fontPosition"",""$value"":{""$ref"":""#/typography/fontPosition/superscript/$extensions/com.canonical.typography/$value""}}}"
typography.text.subscript,extension,"Subscript modifier for chemical formulas and mathematical notation (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""fontPosition"",""$value"":{""$ref"":""#/typography/fontPosition/subscript/$extensions/com.canonical.typography/$value""}}}"
typography.text.underline,extension,"Underline text modifier for links or emphasis (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""textDecoration"",""$value"":{""$ref"":""#/typography/textDecoration/underline/$extensions/com.canonical.typography/$value""}}}"
typography.text.strikethrough,extension,"Strikethrough text modifier for deleted or outdated content (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,,,,,,"{""com.canonical.typography"":{""$type"":""textDecoration"",""$value"":{""$ref"":""#/typography/textDecoration/strikethrough/$extensions/com.canonical.typography/$value""}}}"
typography.heading.1.$root,typography,"Primary page heading (e.g. for main titles and hero sections) (42px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.700},{typography.weight.medium},{number.lineHeight.700},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.1.bold,typography,"Bold variant of heading 1 for additional emphasis (42px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/heading/1/$root/$value/fontFamily},{$ref:#/typography/heading/1/$root/$value/fontSize},{typography.weight.bold},{$ref:#/typography/heading/1/$root/$value/lineHeight},{$ref:#/typography/heading/1/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/1/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/1/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.2.$root,typography,"Secondary page heading (42px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.700},{typography.weight.light},{number.lineHeight.700},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.2.bold,typography,"Bold variant of heading 2 for additional emphasis (42px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{$ref:#/typography/heading/2/$root/$value/fontFamily},{$ref:#/typography/heading/2/$root/$value/fontSize},{typography.weight.medium},{$ref:#/typography/heading/2/$root/$value/lineHeight},{$ref:#/typography/heading/2/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/2/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/2/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.3.$root,typography,"Tertiary page heading (24px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",,{typography.fontFamily.default},{dimension.size.fontSize.500},{typography.weight.medium},{number.lineHeight.500},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
